	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20	sample21	sample22	sample23	sample24	sample25	sample26	sample27	sample28	sample29	sample30	sample31	sample32	sample33	sample34	sample35	sample36	sample37	sample38	sample39	sample40	sample41	sample42	sample43	sample44	sample45	sample46	sample47	sample48	sample49	sample50	sample51	sample52	sample53	sample54	sample55	sample56	sample57	sample58	sample59	sample60	sample61	sample62	sample63	sample64	sample65	sample66	sample67	sample68	sample69	sample70	sample71	sample72	sample73	sample74	sample75	sample76	sample77	sample78	sample79	sample80
protein63	1.39419191548296	1.47851601862266	1.37630406199315	1.38701643345436	1.36305085157501	1.52338457589325	1.31624679463805	1.28824256666343	1.57368732194225	1.35654234374443	1.47991591836921	1.51174952188398	1.34201746913302	1.54955164483954	1.36878007136893	1.31182287029014	1.32431259613366	1.43923315717255	1.21822077653248	1.24994435295181	1.19762169842191	1.27081396209552	1.19571858200724	1.43402917808452	1.20325845645693	1.48607555675969	1.22852848236837	1.45514340016881	1.18625131875881	1.38382322345857	1.30628769679985	1.25208750929247	1.12255832019491	1.12134413784327	1.06140444428066	1.24051191624886	0.988295761795218	1.25335223246889	0.910214707951859	1.47415438594991	1.31309611067078	1.30758819114664	0.944770316003752	1.1663564108267	1.24009578421775	0.969958970881725	0.801773229132651	1.10355817073018	1.0465763450652	1.25010074502431	0.932561157571621	1.11657587657978	0.951787747848983	1.1303305475812	0.964906058660972	1.10960161710755	1.0420657106013	0.892210605343836	0.843200298049907	0.763046139317489	0.972445468895262	0.877421761661314	1.03535752360757	0.976258722118399	1.04333014080444	0.749064382126255	0.944214062296471	1.03891502261982	0.896414865178441	1.11285779749874	1.23972161942835	1.19690194064994	1.0634469656255	1.20452641837041	1.03809912742026	1.01841692353638	1.08375592234922	1.12220283429474	0.982462836739359	1.10832206814955
protein65	1.6443230260946	1.54533715543937	1.36726204941205	1.31995787118186	1.44999394967128	1.47986278255313	1.32118651109385	2.41414830566739	1.58445860622631	1.43516366533769	1.97061038247868	1.42301524425406	1.75945536635874	1.5655301910436	1.9105337570902	1.657285165988	1.52454837657455	1.54554130232869	1.97044709986624	1.62823220941245	1.83033269052162	1.16162260818971	2.03815240149888	1.34195141635221	1.29901913828356	1.54747558037328	1.78349318051082	1.57945410342388	1.49729760121095	1.64971390617065	1.70919001452615	1.91030408084459	1.41248864149541	1.18664242913471	1.11886735161862	1.61264363246439	1.44912536468566	1.55141361503466	2.06483657317758	1.5981272970123	1.52360203275105	1.11893329094453	1.48149414385972	1.73653403622441	1.42006699721482	1.66023541554902	2.2887223760023	1.5016075808404	1.36546296272104	1.34239703662646	1.29931570469527	1.13646906806583	1.27781867752252	1.27196542929854	1.17861945986191	1.09158922707812	1.16738347166948	1.82002911803339	1.17494314770493	1.86070333906106	1.06682884440881	1.55868001511286	1.2803983394149	1.11440809321702	1.34918110457006	1.84673059115789	1.59130347738583	1.17659629618393	1.53958716702549	1.38553288727221	1.35203152207956	1.63063336960214	1.31149072123491	1.32986032199378	1.46626940731648	1.66001879369637	1.48426710057246	1.45836490499226	1.27054258290425	1.49777468804981
protein66	1.51147561589945	1.46672992402814	1.53217978302741	1.51470954972522	1.41816566363779	1.58277560657077	1.49011888478774	1.83693578415137	1.55274241231269	1.38683484653336	1.64119550300859	1.50538716095994	1.62256230265677	1.47274871528852	1.59417361886021	1.51396410250625	1.33248329357494	1.3784891925544	1.38543497819391	1.38938819285799	1.16470323705803	1.25723758209794	1.34286237536613	1.2189753981869	1.27685472346626	1.16202697247081	1.34002579005105	1.13617020373337	1.29851193658282	1.27503369987567	1.3907752514776	1.30475591973898	1.49692618320333	1.40957066877444	1.47247557186358	1.52646353121318	1.61662912290147	1.61431784220091	1.68475746173144	1.83793510097684	1.55151229707856	1.47225171616585	1.59158501199977	1.68073908318757	1.42175381571443	1.63970336173038	1.77842796916026	1.59839774674535	1.29553387478813	1.25046348799591	1.33864633629296	1.31838809988714	1.48505253484865	1.25290182496562	1.28711717129622	1.30560111099472	1.32819249705049	1.43738634153657	1.4072957851976	1.45347523047442	1.28720243745693	1.40487102083765	1.29373772903223	1.37056598556848	1.2745155177956	1.45249073928787	1.34143094601632	1.25827700337668	1.380485008456	1.22360751633679	1.21754686190513	1.26682910345265	1.32072231718894	1.16884718358117	1.25345485507683	1.36706089514315	1.22492605429692	1.3092594402106	1.26972846297737	1.29930931547064
protein69	1.27338266015719	1.43059059418066	1.62057941356403	1.5665634243956	1.18058577106455	1.63882988453505	1.45421926417954	1.44453600790188	1.16782644305716	1.43803839741294	1.52053881362099	1.31493352797065	1.32042456252471	1.37030072343308	1.48139560486041	1.52318456461955	1.31789408024237	1.41103091623341	1.2930368848125	1.38441982773499	1.41718937537894	1.28199150179158	1.37354352621487	1.29827015271975	1.30993081410931	1.31471879159612	1.46333416375746	1.19133334226881	1.43191078366815	1.37452352345548	1.52626301116839	1.31211244908948	1.3111300663463	1.30004958732118	1.3132423925073	1.50192081857764	1.39171079467824	1.51769589548086	1.50675932184127	1.54284973731285	1.34208956833831	1.31660781395026	1.55186310356389	1.55269829247554	1.23656228109457	1.59573114786447	1.48491539008949	1.44359323992051	1.19588721936175	1.06632623516118	1.29242406975625	1.14621928697582	1.27686133759667	1.21474100550785	1.12464584951663	1.12898488168187	1.35011567029391	1.48282609643098	1.67500587341021	1.8895417653221	1.33791294322543	1.52288226856144	1.340826087175	1.33879380658503	1.20150601769583	1.32574406802821	1.39417132392788	1.30867333912325	1.45293078158333	1.23923095695183	1.14991907673732	1.02249963348379	1.19836824612262	0.99381588865677	1.34832497077169	1.27694881329548	1.20569472638549	1.27120852872401	1.18518305358948	1.07970348992886
protein70	1.20051011615005	1.24257960472261	1.25885487244004	1.30231035480425	1.16644699285269	1.49979901589503	1.20336868478857	1.09453193125461	1.04255220819824	1.39116682575891	1.22841329630601	1.33479933390447	1.41312162372954	1.20369430639683	1.38528934515317	1.33234825076835	1.31622301119135	1.3287778627161	1.37494842473544	1.27468191080875	1.3659885569877	1.41409362250196	1.38835478102789	1.36668213514764	1.3094555831328	1.31768741172237	1.35174039544938	1.27156310097534	1.27925932570045	1.36839106295131	1.22217444305336	1.39041860737532	1.16547940967301	1.24323280517416	1.20843751240202	1.19115792243433	1.29676285906017	1.13759620918972	1.2172117133219	1.13948263794906	1.1257581827372	1.20185061425902	1.20393495741747	1.31647464553395	1.12089353237885	1.23815933046704	1.23362953967134	1.28580211805221	1.30781816262058	1.20974077572922	1.35816044701048	1.34964020164695	1.38542076012831	1.31890797183988	1.27905239942647	1.43381772659468	1.37904381094217	1.50211077479848	1.54384723273037	1.50789593023491	1.38261714146211	1.43763840565189	1.33031063923332	1.36013949628141	1.34591101871237	1.34988058321166	1.36116481068754	1.52332491056145	1.41625549053076	1.37890099014418	1.29898517267105	1.3677820161493	1.50255884942809	1.38584473522583	1.42037150449832	1.41028345488247	1.39486801376373	1.39887913381266	1.427211614605	1.38158723012202
protein72	1.70443837917167	1.84434858320745	1.79032812293279	1.7772269420206	1.68656905338639	1.8011503537491	1.61598267805742	1.89808350315595	1.61916870268612	1.61084394970252	1.98166065852582	1.90575093652545	2.00683828348252	1.93240497969315	1.81963575899104	1.63131416672402	1.67603769605741	1.82728719263214	1.51203950389626	1.77623281910913	1.48623382635369	1.51102927260147	1.4876985446894	1.72678589234915	1.4270762205965	1.90341961690004	1.54849523508414	1.59433960646632	1.55920972403645	1.83887746272274	1.72930389695534	1.6787288977404	1.32161592461147	1.29128079359144	1.20055175951803	1.46462341214592	1.21194770753932	1.46320966733986	1.1801218400062	1.30847940563167	1.19625258171234	1.39808267200138	1.20242345425836	1.47696876043432	1.41669161278561	1.32253874653558	1.16835259432231	1.2862140800294	1.20024336820963	1.34831436933699	1.11088587636962	1.1806877732774	1.20368506094274	1.21027892065537	1.07943711234557	1.2593678566976	1.25444402298811	1.24838420045245	1.23667135199766	1.21725775578784	1.13045923542835	1.09388174125267	1.27172962260244	1.27845972277893	1.23185402080044	1.12169309270666	1.18792990128337	1.22605367382842	1.15754090760149	1.32934356437839	1.44169965728654	1.30859405927902	1.33030136645293	1.31140302142704	1.31806028796199	1.26766332428096	1.30911019978147	1.42759843430561	1.23742780961849	1.15270758499494
protein73	0.875225494268789	1.20210923313099	1.02629127240257	1.14185538526625	1.14810222586503	0.936630202640921	0.961757021855003	0.516919864717888	0.970364355345809	0.862664638271774	0.785667756260742	1.22304761059368	0.841143108073964	1.34473928359286	0.91775399169312	1.00590023888148	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.01986799867842	1.02895459654465	0.921660871107903	1.20684641397288	0.861328231439819	1.09597594205823	0.93334944395186	0.842023467844864	0.705701415122344	1.16152431660865	0.837996077574588	1.07467915554382	1.12856429978331	0.833287954505457	0.646692483377697	0.969228128711341	0.855354721089376	1.13528017750105	0.803219805961818	0.957568289363834	1.02092893222564	0.971112810105288	0.870861225343843	1.00010662921488	1.03867366319555	0.891364073461956	0.958933670329584	0.723969804899015	0.868342939988995	0.626967956934046	0.969808264306011	1.02941208839455	0.89858009068334	0.69299829622076	0.730797904518623	0.91963819314933	0.767891621143126	0.959656235841077	1.04677210624228	0.956202976014721	1.01275720495523	1.0428363824594	1.03187679339127	0.986687209385906	0.991362014863586	1.06077930190077	0.913946080889119	0.801331371875665
protein75	1.34954329241298	1.15943213505663	1.19328516695889	1.1029433795649	1.46951564204444	0.988423496069995	1.31347093078242	1.34660666370909	1.31925393064991	1.07565726196831	1.26431016673074	1.15381625300138	0.988549077596719	1.24773927127583	1.22220966183371	1.12415731206667	1.34906399782486	1.42712162698111	1.19745654440543	NA	1.49854271506424	1.2749700008329	1.22135269721762	1.25498102110233	1.13101705451386	1.26834267556944	1.15985244404375	1.38126813470047	1.2378195878218	1.2848651608918	1.5036693565942	1.53270671275385	1.5848014396483	1.43755588446739	1.30878472374764	1.45853254730452	1.39784412683289	1.67982180395914	1.55466010443983	1.691152783245	1.85605346384071	1.36830729133271	1.54013258672807	1.44016567163158	1.43521494383554	1.60667295936266	1.60225698548782	1.36454935758598	1.28270340825052	1.34946823401072	1.33061507181435	1.29939876739074	1.28128945994741	1.17831957286088	1.13190267271592	1.32840585300904	1.32370353974351	1.29186976929282	1.21394650606525	1.31372287594953	1.26312007621624	1.48493675337131	1.29071212600087	1.29966731282835	1.36231641646734	1.66756793702177	1.39224786339527	1.30267319868114	1.09134412367431	1.38381431370771	1.33675576196003	1.31090059277284	1.45596180935278	1.34675628260272	1.57179440765386	1.40193394798862	1.3271080375916	1.38387062492806	1.65388048239548	1.57121475920421
protein77	1.16912463559684	1.0682317522811	1.06963094230738	1.11655840805934	1.35899625327353	1.27879672462028	1.10587831078775	1.70681374200536	1.51018674675739	1.26154063391395	1.65631454834509	1.31833435098431	1.38864721291941	1.37584085448449	1.56055551495945	1.10416250878759	1.187199794044	1.36209368964443	1.52986640022376	1.09879267961124	0.989927754676089	0.778726214231257	1.16174789547481	0.748218830105409	0.891623810544033	0.881385494135872	1.12445574753154	1.10612097835873	1.03626489527636	1.30130203214238	1.36469076936164	1.49948608074823	1.03091762741717	0.817492974696664	0.768225638122321	1.07096310748611	0.85506349122136	0.9746940326276	1.29749949439988	0.759458071157263	0.924090301096327	0.664147310079797	0.886657129488351	0.92660483407649	0.736055122697652	0.995343213800507	1.48080111237179	1.28079978191961	1.16638650775954	1.03901832406355	1.26090463631668	1.10453307821696	0.890025948184151	0.965309411627095	0.928188782742905	1.00598390155021	1.11202118128664	1.1924405439773	0.84687301004776	1.24088580383925	0.779247545517204	0.873866694201235	1.01233030794496	0.922142730522691	1.23843990793373	1.81769531804271	1.50419118233944	1.03064766368083	1.07877371169934	1.38355852595013	1.46272653621672	1.59003457590747	1.15313983823679	1.05635752740368	1.44946602495729	1.64038879681465	1.28864056006978	1.1732238325687	0.929019061720689	0.913700817014379
protein78	1.23054128975768	1.35807175356167	1.2434887015095	1.39708685235439	1.2622474647929	1.49142835322338	1.21176449538462	1.58276981835848	1.40304543652914	1.36420549868588	1.523255160664	1.45651626650224	1.62296327408242	1.44350569047693	1.42623769937329	1.23904667035552	1.18919278372572	1.41660166122963	1.44161084358515	1.18294062387888	1.24996965198398	1.32077729315764	1.31381606640425	1.40838320045882	1.21458539619972	1.38859487317051	1.22648215221867	1.38249289365728	1.16192095579673	1.46203479777446	1.38426367016241	1.50472446829594	1.09033364634745	1.14851580536931	1.10243164184321	1.25900372694499	1.08240576463222	1.244184930454	1.00076389716894	1.43323982898551	1.29391616843603	1.32506331327687	1.04018491817544	1.20612294261917	1.17937189666188	1.03739747871393	0.807012048369983	1.0751413145772	1.15393974828366	1.33390882409839	1.10598714288189	1.23052160212078	1.09814863558158	1.2426467234217	1.13047364455114	1.27487987654118	1.2635875591237	1.1823803802631	1.26923819213862	1.27837336497468	1.12325982813839	1.09502919721006	1.26950922721987	1.2047271576935	1.19543445688637	1.1304527753937	1.35767812476597	1.31187931972883	1.1980819827922	1.35113684927813	1.44260208759657	1.3467935613895	1.33536503516732	1.3840634811463	1.3303451766781	1.31553435038183	1.24174383664161	1.42714507854517	1.26827319618238	1.21522129745287
protein79	1.37685238111721	1.26032488530081	1.33345792741732	1.25574384015503	1.2113378570541	1.22240068372732	1.48913210662839	1.20426710761261	1.1275571722684	1.237137264877	1.16986470201487	1.14656182375536	1.33762431177103	1.34675619823394	1.18343657295814	1.16971544489838	1.52697439854002	1.62923507503906	1.40626964783904	1.74001951020837	1.38546806583448	1.42265277593251	1.45416779623664	1.31091962319646	1.74804777652386	1.30478601559112	1.56410370091863	1.42641264327846	1.63062221731166	1.40508921946964	1.4080713923889	1.32418666373075	1.49511231458004	1.35065045664376	1.41523912755543	1.34916752618078	1.42370176006606	1.54640517091181	1.48521192947092	1.35980259391114	1.20036063050823	1.43948974436812	1.28213382529053	1.56729176743835	1.18579030798624	1.23783172954154	1.20174868397209	1.18364273505213	1.4069488675583	1.37175553921527	1.40713463155906	1.37682476014253	1.37994598597157	1.30787121142683	1.37334291757096	1.37830695132727	1.28950571451215	1.46360240451115	1.51665002314257	1.4412075270602	1.21979448786295	1.47673856299905	1.62523469964858	1.64126866428298	1.45305942248533	1.51458153891145	1.34537224193261	1.57006499835398	1.14355277985137	1.46031878257904	1.33719472555865	1.18316937917283	1.37803764437019	1.31856982474241	1.40267488703927	1.85864776881782	1.25839107924581	1.40269728467825	1.31472792600864	1.23201132195604
protein80	1.01236676907074	1.36895278817665	1.39480477225094	1.40805162305269	0.932948330849862	1.25470440284203	1.21699592079736	0.930110068739703	0.809493341807289	1.0559194001231	0.434149307034829	0.940885947258479	NA	1.33725721884883	0.572297519898782	1.32064593232936	1.24775521120952	1.21767835646347	0.868671134974817	0.422069006443049	1.25855703025279	1.22005328510222	1.14085020532628	0.916214218396199	1.41144552091634	0.837281624683479	1.12548926483874	0.754116479872332	1.06046639511656	1.28432867520196	0.953596658410777	0.918485640057235	1.39464524938103	1.14552666076347	1.50671123618824	1.33622923646971	1.45111314251453	1.61407836256774	1.49294603194263	1.40590505183856	1.32963355275853	1.48345500995274	1.65543531625319	1.92162880461961	1.38427376872112	1.60754393398576	1.50798337944239	1.4080996078579	1.39685474984026	1.08340959820931	1.20029864091545	1.6188052675492	1.44369679379073	1.32171585911021	1.33173926938381	1.35105999300497	1.36709505368634	1.24052194200517	1.31056299930305	1.88012842500568	1.3652929117402	1.91605278886743	1.37315513359655	1.24325336391724	1.34274582465166	1.4446417300244	1.33150807137147	1.4045559411577	1.28516232273954	1.31693705359946	1.26888505431695	1.0749627012865	1.08793864573056	1.08413465554795	1.48139297713393	1.24647182186157	1.40413366138046	1.45246806969072	1.25941556222505	1.35198156658717
protein81	1.2113089994927	0.993054703709028	1.00500099193871	0.841473187423078	1.12220101976327	0.926643458521107	1.03874608665318	0.973219463963324	1.38957412977522	0.804788129108232	1.20287873021244	1	1.14473467827335	0.891265428430076	0.986201861753024	0.94488304346218	1.50943013433344	1.62747671370215	1.29550796255456	1.42300235233015	1.26579660461089	1.25863527323885	1.15674092100895	1.69754479784802	1.0243947522948	1.63080545518805	1.30501450897138	1.84289155783089	1.09779035900494	1.31325801515111	1.40189848005988	1.3986829354286	1.13042855973631	1.09072814228198	0.961850661694255	0.977544372951838	1.03001177432353	0.997158984615328	1.20140011916871	1.38157393853247	1.45532930729795	0.981214658189284	1.08571070876861	1.73240086189454	1.33270052869267	1.16394278573277	1.21207029589887	1.35162740232173	1.11856805624234	1.2661233846904	0.961335088770255	0.955391454098535	0.777952766047478	1.24520522412258	1.0788409045176	0.902746960744465	0.983992125026097	0.735973271097268	0.891627301278528	0.889173171663841	0.858506717334577	0.642701008180138	1.20645621948658	0.932124099274211	1.22354143587683	1.08543808625211	1.03911036166411	0.980947680383493	1.01633407365403	1.32466999795341	1.39740528270774	1.39728888875666	1.14123317867059	1.4880179140883	1.15864460108066	1.16745976731388	1.27202484376108	1.32762769839588	1.21531743168227	1.43776784595639
protein82	1.31895596902865	1.22150193622143	1.22440159303026	1.28973961925934	1.20745361729105	1.09435679184818	1.24171410186576	1.29400897595761	1.33202498313721	1.19002455725814	1.26230478393055	1.20469550207356	1.0619818783609	1.21542924123666	1.20635281035562	1.2276581311763	1.28561338714437	1.26357027452662	1.32033400004007	1.29255377401208	1.22379465945782	1.2599172708343	1.2018411426434	1.17595407982522	1.23766656067606	1.15792749467735	1.17103547438497	1.21432632035125	1.19615929185644	1.33445103055776	1.37046049902847	1.19889609805109	1.55029743776819	1.36913222179638	1.401256360534	1.46015090023142	1.47163355160737	1.58572280848246	1.50144439912755	1.61524303597281	1.51796591400115	1.50242819573294	1.41105434294184	1.55012908002765	1.43127247134205	1.42733029031314	1.61841037034205	1.43469693943824	1.41313029725854	1.34549353603483	1.41489926843915	1.36833398064189	1.33600818863058	1.34976043773927	1.30127172171935	1.36850234417109	1.32201945655803	1.42719767892627	1.38190868717975	1.4267854680576	1.29428615163677	1.44437945650681	1.3564635926547	1.40668027622453	1.42566072751671	1.42138794230006	1.39445271042256	1.31013920510385	1.40483350408398	1.27770120147113	1.41538272933055	1.3305325577066	1.38507219832583	1.31259175650802	1.31133232754442	1.43263577823805	1.32242319934539	1.32565796116935	1.32048317928079	1.28786789783152
protein83	1.26700157031619	1.57511315655861	1.74461000156341	1.61855404703423	1.15268816489535	1.58490774183467	1.54844922927986	1.12687928323451	0.899751082494928	1.30431307866024	1.13609552180278	1.06590270057643	0.95695475615433	1.43743407584508	1.15576590955135	1.60432307629465	1.2675079196598	1.30753473517126	1.16605099514603	NA	1.34850077345632	1.22114436534673	1.54920475734598	1.08388845148037	1.47282541779076	0.953105469409694	1.3975175334757	1.19775072616227	1.46234179536911	1.47079217089463	1.38446776826956	1.00918604604963	1.22203765263239	1.12856271084275	1.34222723963505	1.40880651638426	1.35820476642443	1.38600880724926	1.55082911388796	1.11519855160154	1.11311556735547	1.17738945795717	1.25070703050797	1.66455350055474	1.09068377508052	1.49431039202648	1.32599591167735	1.16441927096681	1.29695682819705	1.01768523835255	1.25758852874976	1.51282657709119	1.44950779870455	1.25744689792371	1.08627896875062	1.22356655113753	1.32686902448754	1.38676412344669	1.49172667696428	2.05543141311355	1.40702562030966	1.73333152608204	1.3139142932512	1.33991935378926	1.17348798558209	1.24825571219442	1.43933796519134	1.23230789085091	1.16826379129066	1.29351246087267	1.00151482889183	0.934851641426592	1.11542410152094	0.920313370802558	1.40251679180217	1.45594300428632	1.06310978947125	1.47949832447314	1.08652878232378	0.979965466957054
protein84	1.05987711875068	1.10368519847582	1.11559095056584	1.23059590475572	0.789090110993823	1.67847429555263	0.863900316174369	1.80655584081334	1.13248712446513	1.19940982760986	1.6799867766234	1.22109232506749	1.83784524516858	0.994299295746778	1.53046681740048	1.04292615253789	0.987489893800019	1.15530874610009	1.00615421979486	0.543565799878685	0.775567741752939	0.715135639199465	0.807542315919375	0.620720579356663	0.642815603187635	0.72103277133091	0.904622671003701	0.838359209529035	0.611993113288269	1.10329974132883	0.81696071544299	0.988948270325647	1.00459958549687	0.849534601770467	0.944272419498411	0.91872032739731	1.25184483092378	1.06425194365546	1.05264887107896	1.7848092757403	1.19207520942506	0.841828979998801	1.34727752572311	1.29527554283934	0.79141692165227	1.43194120378003	1.36399795251701	1.31458868570833	1.37320980783808	1.10892140126306	1.64568432958936	1.20806542741591	1.47427397395327	1.36178854574818	1.27710555917891	1.09435194025353	1.29622994528062	1.59999640402103	1.3927755864923	1.59623362990493	1.09475814264237	1.50816097635997	1.49186516528677	1.64516079825601	1.32362885964155	1.58878907097511	1.58240257841228	1.33247363717842	1.92134932952923	1.31233763805257	1.47882448022364	1.2379888781692	1.37299050077123	1.06605892601565	1.48819719305149	1.75578856190466	1.29056637678095	1.60081952953495	1.31625421550166	1.27556864072137
protein85	1.43758020000396	1.49778139747804	1.61248875795269	1.59153364051472	1.33882314488807	1.61706633180569	1.46769582878079	1.65587785905378	1.32595591241093	1.57737762381766	1.58618348003363	1.40960310190487	1.61197743718552	1.38577155875733	1.67856409307426	1.61461081483956	1.4127187417037	1.33998685106145	1.52980066159608	1.09048779940711	1.5032569580104	1.34572851435272	1.47397899812446	1.52527242221528	1.48262039578785	1.47083705046014	1.44133282361055	1.36728614083143	1.41298839066624	1.36091447468893	1.55578668354243	1.61608478394991	1.38203650181959	1.36021759141052	1.35336819553378	1.40562033091366	1.61025151775155	1.50590467500162	1.51837020914545	1.59080484831819	1.70601863931283	1.26843769419021	1.54741264067716	1.51908198209747	1.45369420868175	1.53312658529168	1.59107320647997	1.53509307846613	1.00976793549496	1.02872906341689	1.03464734624623	0.979170926347144	0.985380257163834	1.08271940825782	1.03635721130303	0.948745344035118	1.01894576941078	1.08782641408339	1.16792528845833	1.37759470168987	0.992567549150739	1.10403064983727	0.981000269157249	0.971581976503388	1.3081515547828	1.65741204351173	1.34341081057466	1.33083047489586	1.32251740328768	1.27664645519896	1.2619533644745	1.32266850561071	1.45771973759589	1.27726123408447	1.37030210019038	1.35226971627385	1.39924815338362	1.32065828162206	1.32126217604311	1.43432575294253
protein86	1.09080835422283	1.06514594819377	1.28570735308562	1.18542458401906	1.08461722098324	1.76056316171471	1.27825138424558	1.27274663080062	1.07009650317426	1.23703464292924	1.22240471496879	1.03911388551204	1.10990578438928	0.998121249998567	1.26378512883177	1.26378038375951	0.988123882106063	0.72932847893611	0.998438085429083	0.696174258114154	1.05925512260408	1.09296647393404	1.05450349899133	1.20017869296193	1.11516011782329	1.10294349575085	1.0976798517349	0.949120878071784	1.18535451202035	1.00742648423706	0.972177620971258	1.10171290436301	1.318837278931	1.3938030214475	1.38358906940407	1.40429454363454	1.46202135726939	1.37234337514495	1.41217971504683	1.5099573621128	1.43172804409279	1.2645051037961	1.47544767479653	1.48062866008959	1.47414629259626	1.61500868724505	1.5404567015947	1.4137289660759	1.26545542565549	1.23105061050279	1.46189688849766	1.18193203761395	1.43339816561995	1.49928850877007	1.35742361544112	1.21346059335993	1.35335813958688	1.49133900174971	1.64347500189805	1.7655252054389	1.46097493069897	1.68993978813459	1.47480247797105	1.44381062293124	1.28335740509665	1.51291360732332	1.29473661887089	1.31955334699901	1.50262053838973	1.39374066682374	1.37307353053626	1.41999271058647	1.35639682706839	1.2595481860961	1.28661389818858	1.37622093815268	1.47800843150073	1.22686866196852	1.21660965510206	1.37482785794415
protein88	1.00850393522302	1.0407014216764	1.0177337732543	1.06285860114574	0.915059160082974	0.993272157062774	0.963863387196166	0.896467442943324	1.04122658063833	0.999420770250915	0.831623653963256	0.940454747331411	0.819496186824941	0.932161200208716	1.03214147184701	1.04399691548376	0.987807105968346	0.94854182559885	0.9899432790453	0.9040748909499	0.956449137243244	0.969980170744957	0.987697634502579	0.987946354185681	1.12002704103882	0.937158432797529	1.00234708086944	0.896182621657325	1.11115774805375	1.00053760220613	1.10037427497196	0.947953801981809	1.13626667413927	1.14023931201312	1.19936314664857	1.06307750694267	1.18339845251254	1.10971254690054	1.10490978938649	1.14749252241046	1.13952884988325	1.09222794907524	1.12885427723645	1.14676131354698	1.09907071256741	1.12746927938678	1.13445746022231	1.22277116838876	1.02844112709793	0.961891728858431	1.08899695937495	0.999727447666936	1.15367457615437	1.0689915797853	1.13311314811867	0.965143822489044	1.05142453034474	1.09412767968903	1.09888148148139	1.08353209381392	1.09746783729511	1.07397045589325	1.04550503102919	1.07625102225242	1.09889671638325	1.22364689424898	1.19824083953993	1.16073841627474	1.26841057137674	1.0669257747143	1.06477710853847	1.07198951932901	1.18931680511743	1.0392308715772	1.08458902299305	1.16376590565122	1.06745931742614	0.971383009349606	1.04899954355813	1.05557858311622
protein89	1.36245346784689	1.29915977227271	1.33372546285489	1.36704978665072	1.26137131973358	1.41567397290467	1.30536284825151	1.41456739608121	1.29126290745961	1.34899146460375	1.35853159881167	1.28178635138979	1.32867413141407	1.28519574342422	1.36920487490827	1.38614274440623	1.39293541669122	1.38004386164202	1.40807276996221	1.24358815061796	1.41109546321031	1.36559841272308	1.41647536615765	1.42301004251542	1.32556409562454	1.40908351192955	1.35784842752727	1.26702649355577	1.32090545232726	1.35553546165863	1.35518692627005	1.40342126322727	1.2831163525568	1.32293453835669	1.33217608139928	1.30721113854763	1.40389870267844	1.34331831320237	1.30586686506478	1.51629125835702	1.41322408213266	1.24695385200114	1.33293259192828	1.37911211219023	1.34001768723482	1.42213473453317	1.42216140301752	1.40222902700804	1.3398483860642	1.26788946940601	1.39932232057333	1.3529088401623	1.59993476966828	1.40571612342597	1.32950383775361	1.35538180570565	1.42125767801079	1.44345584832713	1.52865415536232	1.59607720506243	1.49450638462568	1.55784751439621	1.40039469550927	1.42187363068198	1.39786682660844	1.5071127438226	1.35937886623834	1.38074037776699	1.43035269225178	1.46074218217226	1.42009789349969	1.39174290497519	1.44474696015348	1.3300282757528	1.39582137541262	1.34648668875887	1.47192761536123	1.41009908193122	1.34412761837335	1.41379934164077
protein91	1.37657422285505	1.52131032924439	1.442715558306	1.51178507656205	1.30144829073066	1.52661420580413	1.36161121223955	1.31287473100878	1.10354202033377	1.35696812331722	1.24650501388094	1.35482846315909	1.4237200481998	1.52189727760584	1.32517083226826	1.47369505178708	1.53835792250197	1.46951470885359	1.49120407283481	2.02740103642823	1.54374105881698	1.66026692026238	1.55107431624309	1.49882234270786	1.59890274260407	1.33431499243163	1.49400230624773	1.3671725729782	1.38586968485254	1.2854005346934	1.32158603054626	1.30992594375648	1.2785869879595	1.26215549437202	1.35196872779528	1.37916766110546	1.31919582162769	1.29595771291679	1.1895972720285	1.11044478277621	0.941800614718676	1.35349955571905	1.25061262360329	1.36639563189362	1.30344257382983	1.23519696234241	1.3543797408259	1.35892951815756	1.36270392878763	1.18574146200853	1.25467462879811	1.54695849187112	1.38230378562241	1.33754033819	1.30317646632353	1.51571239332251	1.30520271476143	1.43655235340063	1.46492057538737	1.41986884825967	1.60067503172887	1.57237796311624	1.28513159925472	1.28607535807083	1.10954786041828	0.927871393875135	1.07325012780816	1.18774295533333	1.13181155555038	1.12267125258408	1.03643517977286	1.06380495846412	0.958449267469034	1.05139500832056	1.02986472045792	0.932979667241424	1.0542881078781	1.16440228521329	1.03542011715162	0.901038746935449
